bench_id,bench_name,scheduling_pool,is_open,standard_people,actual_people,efficiency
CM01,CSKI/MVKI Bench 1,CSKI_MVKI,no,2,2,1.00
CM02,CSKI/MVKI Bench 2,CSKI_MVKI,yes,2,1,0.50
CM03,CSKI/MVKI Bench 3,CSKI_MVKI,no,2,1,0.50
CM04,CSKI/MVKI Bench 4,CSKI_MVKI,yes,2,2,1.00
CM05,CSKI/MVKI Bench 5,CSKI_MVKI,yes,2,2,1.00
CM06,CSKI/MVKI Bench 6,CSKI_MVKI,yes,2,2,1.00
LV01,LVPA Bench 1,LVPA,yes,2,2,1.00
LV02,LVPA Bench 2,LVPA,yes,2,2,1.00
LV03,LVPA Bench 3,LVPA,no,2,0,0.00
LV04,LVPA Bench 4,LVPA,no,2,0,0.00
LV05,LVPA Bench 5,LVPA,no,2,0,0.00
LV06,LVPA Bench 6,LVPA,no,2,0,0.00
LV07,LVPA Bench 7,LVPA,no,2,0,0.00
