03.06.2026                                                                                             Dynamic List Display                                                                                                    1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
03.06.2026                                                                                      Order Info System - Production List                                                                                          1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SchedStart|Sched.Fin.|Act. start|Act.finish|Order       |Material  |Mat. descriptn                      |Target qty|Conf. qty|Customer                           |Priority|System Status                           |UserStatus|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|03.06.2026|03.06.2026|          |          |200234256176|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|03.06.2026|03.06.2026|          |          |200234256377|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|03.06.2026|03.06.2026|          |          |200234256378|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|12.06.2026|12.06.2026|          |          |200234304071|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|05.06.2026|05.06.2026|          |          |200234256380|CS5711-000|LHOL-47-440                         |      588 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|05.06.2026|05.06.2026|          |          |200234256384|CS5711-000|LHOL-47-440                         |      588 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|02.06.2026|02.06.2026|03.06.2026|          |200234256174|CS5726-000|LHOL-63-500                         |      360 |     105 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|09.06.2026|09.06.2026|          |          |200234296251|CS5726-000|LHOL-63-500                         |      360 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|09.06.2026|09.06.2026|          |          |200234296252|CS5726-000|LHOL-63-500                         |      360 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
