15.07.2026                                                                                             Dynamic List Display                                                                                                    1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
15.07.2026                                                                                      Order Info System - Production List                                                                                          1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SchedStart|Sched.Fin.|Act. start|Act.finish|Order       |Material  |Material description                |Target qty|Conf. qty|Customer                           |Priority|System Status                           |UserStatus|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|13.07.2026|18.07.2026|14.07.2026|          |200234568675|EB0767-000|BCIC-3116/A                         |      168 |       0 |                                   |        |REL  PRT  PCNF PRC  BCRQ GMPS MACM MSCP*|          |
|29.07.2026|29.07.2026|          |          |200234417868|EH1899-000|BCIC-3129-CR(B12)                   |      168 |       0 |Tyco Electronics Polska Sp z o.o.  |5       |CRTD PRC  BCRQ MACM SETC                |          |
|13.07.2026|18.07.2026|14.07.2026|          |200234414131|BM8245-000|BCIC-3129-CR                        |      168 |       0 |                                   |        |REL  PRT  PCNF PRC  BCRQ GMPS MACM MSCP*|          |
|13.07.2026|16.07.2026|14.07.2026|14.07.2026|200234554549|ES7593-000|CSJB-55/17-435/U-CN                 |      288 |      60 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|COMP PREP |
|15.07.2026|18.07.2026|          |          |200234181268|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*|COMP PREP |
|21.07.2026|24.07.2026|          |          |200234593919|ES7593-000|CSJB-55/17-435/U-CN                 |      288 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|23.07.2026|26.07.2026|          |          |200234181269|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|30.07.2026|02.08.2026|          |          |200234181272|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|06.08.2026|09.08.2026|          |          |200234181274|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM SETC           |          |
|13.08.2026|16.08.2026|          |          |200234181397|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|20.08.2026|23.08.2026|          |          |200234181398|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|03.09.2026|06.09.2026|          |          |200234181400|ES7593-000|CSJB-55/17-435/U-CN                 |      200 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|09.09.2026|16.09.2026|          |          |200234425043|ES7593-000|CSJB-55/17-435/U-CN                 |    1,500 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD MSPT PRC  BASC BCRQ MSCP SETC      |          |
|18.09.2026|23.09.2026|          |          |200234424932|ES7593-000|CSJB-55/17-435/U-CN                 |      800 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD MSPT PRC  BASC BCRQ MSCP SETC      |          |
|25.09.2026|29.09.2026|          |          |200234425037|ES7593-000|CSJB-55/17-435/U-CN                 |      500 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD MSPT PRC  BASC BCRQ MSCP SETC      |          |
|24.09.2026|29.09.2026|          |          |200234425044|ES7593-000|CSJB-55/17-435/U-CN                 |    1,000 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|30.09.2026|07.10.2026|          |          |200234425045|ES7593-000|CSJB-55/17-435/U-CN                 |    1,550 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|07.10.2026|14.10.2026|          |          |200234425047|ES7593-000|CSJB-55/17-435/U-CN                 |    1,500 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|14.10.2026|21.10.2026|          |          |200234425046|ES7593-000|CSJB-55/17-435/U-CN                 |    1,505 |       0 |Tyco Electronics Singapore Pte Ltd |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|21.10.2026|28.10.2026|          |          |200234425048|ES7593-000|CSJB-55/17-435/U-CN                 |    1,500 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|10.07.2026|10.07.2026|15.07.2026|          |200234549127|CS5732-000|LHOL-75-580                         |      224 |      17 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|13.07.2026|13.07.2026|          |          |200234548871|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|13.07.2026|13.07.2026|          |          |200234548873|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|13.07.2026|13.07.2026|          |          |200234550231|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|13.07.2026|13.07.2026|          |          |200234550232|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|14.07.2026|15.07.2026|          |          |200234549118|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|16.07.2026|16.07.2026|          |          |200234549128|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|17.07.2026|17.07.2026|          |          |200234549129|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|17.07.2026|17.07.2026|          |          |200234549130|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|21.07.2026|21.07.2026|          |          |200234550378|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|23.07.2026|23.07.2026|          |          |200234594039|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|23.07.2026|23.07.2026|          |          |200234594040|CS5732-000|LHOL-75-580                         |      224 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|14.04.2026|15.04.2026|29.04.2026|          |200233958635|EP0779-000|EXRM-1491-960-33X3.6-QA             |        5 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|06.07.2026|11.07.2026|02.07.2026|10.07.2026|200234456664|ES0839-000|CSJP-55/17-435/U-JZ                 |      300 |     295 |                                   |        |REL  PRT  CNF  PRC  BASC BCRQ GMPS MACM*|PREP      |
|13.05.2026|18.05.2026|11.05.2026|26.05.2026|200234113427|ES7599-000|CSJP-75/25-552/U-JZ                 |      300 |     300 |                                   |        |REL  PRT  CNF  PRC  BASC BCRQ GMPS MACM*|COMP PREP |
|02.07.2026|03.07.2026|19.06.2026|01.07.2026|200234340811|ES2816-000|CSJP-55/17-435/U-CN                 |       23 |      18 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|08.07.2026|13.07.2026|08.07.2026|          |200234456668|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|PREP      |
|09.07.2026|13.07.2026|12.07.2026|          |200234456741|EP9613-000|CSJS-49/15-410/U                    |      207 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|COMP PREP |
|09.07.2026|14.07.2026|09.07.2026|          |200234456738|EP9613-000|CSJS-49/15-410/U                    |      288 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|PREP      |
|13.07.2026|15.07.2026|08.07.2026|          |200234554277|ES7599-000|CSJP-75/25-552/U-JZ                 |       46 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|13.07.2026|15.07.2026|09.07.2026|          |200234554279|ES7599-000|CSJP-75/25-552/U-JZ                 |       28 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|14.07.2026|16.07.2026|          |          |200234554087|ES2816-000|CSJP-55/17-435/U-CN                 |       22 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|14.07.2026|16.07.2026|          |          |200234554088|ES2816-000|CSJP-55/17-435/U-CN                 |       26 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|14.07.2026|16.07.2026|09.07.2026|          |200234554278|ES7599-000|CSJP-75/25-552/U-JZ                 |       63 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|15.07.2026|17.07.2026|          |          |200234554089|ES2816-000|CSJP-55/17-435/U-CN                 |       22 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|15.07.2026|17.07.2026|          |          |200234554090|ES2816-000|CSJP-55/17-435/U-CN                 |        9 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|15.07.2026|17.07.2026|          |          |200234554092|ES2816-000|CSJP-55/17-435/U-CN                 |       30 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|15.07.2026|17.07.2026|          |          |200234554093|ES2816-000|CSJP-55/17-435/U-CN                 |       43 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|15.07.2026|17.07.2026|          |          |200234554281|EP9613-000|CSJS-49/15-410/U                    |       23 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|15.07.2026|18.07.2026|          |          |200234554091|ES2816-000|CSJP-55/17-435/U-CN                 |      141 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|13.07.2026|18.07.2026|13.07.2026|          |200234554542|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|PREP      |
|17.07.2026|20.07.2026|          |          |200234347533|ET3937-000|CSJB-63/19-462/U-S                  |       30 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|16.07.2026|21.07.2026|13.07.2026|          |200234554504|ES7599-000|CSJP-75/25-552/U-JZ                 |      300 |       0 |                                   |        |REL  MSPT PRT  PCNF PRC  BASC BCRQ GMPS*|PREP      |
|16.07.2026|21.07.2026|          |          |200234554538|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|17.07.2026|22.07.2026|          |          |200234554540|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM SETC      |          |
|21.07.2026|23.07.2026|          |          |200234593839|ES2816-000|CSJP-55/17-435/U-CN                 |       48 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|17.07.2026|25.07.2026|          |          |200234593844|ES7599-000|CSJP-75/25-552/U-JZ                 |      300 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|21.07.2026|26.07.2026|          |          |200234593845|ES7599-000|CSJP-75/25-552/U-JZ                 |      232 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|22.07.2026|27.07.2026|          |          |200234593849|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|22.07.2026|27.07.2026|          |          |200234593850|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|23.07.2026|28.07.2026|          |          |200234593851|ES2816-000|CSJP-55/17-435/U-CN                 |      300 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|31.07.2026|03.08.2026|          |          |200234069557|ET3937-000|CSJB-63/19-462/U-S                  |       63 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|24.09.2026|27.09.2026|          |          |200234575240|ET3937-000|CSJB-63/19-462/U-S                  |       10 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|06.11.2026|09.11.2026|          |          |200234575241|ET3937-000|CSJB-63/19-462/U-S                  |       20 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|17.07.2026|17.07.2026|          |          |200234554662|ET3957-000|CSJB-83/30-552/U-QA-S               |      170 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|09.09.2026|12.09.2026|          |          |200234574323|ES7595-000|CSJB-75/25-552/U-JZ                 |       40 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|23.09.2026|26.09.2026|          |          |200234574327|ET3935-000|CSJB-55/17-435/U-S                  |       10 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD MSPT PRC  BASC BCRQ MSCP SETC      |          |
|25.09.2026|29.09.2026|          |          |200234252792|ET3935-000|CSJB-55/17-435/U-S                  |       18 |       0 |TE Connectivity Australia Pty Ltd  |5       |CRTD PRC  CSER BASC BCRQ MACM SETC      |          |
|23.10.2026|27.10.2026|          |          |200234425691|ET3935-000|CSJB-55/17-435/U-S                  |       19 |       0 |TE Connectivity Australia Pty Ltd  |5       |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|30.10.2026|02.11.2026|          |          |200234574322|ES7595-000|CSJB-75/25-552/U-JZ                 |       20 |       0 |Tyco Electronics (Kunshan) Ltd     |5       |CRTD PRC  BASC BCRQ MACM SETC           |          |
|06.11.2026|09.11.2026|          |          |200234574329|ET3935-000|CSJB-55/17-435/U-S                  |       20 |       0 |                                   |        |CRTD MSPT PRC  BASC BCRQ SETC           |          |
|16.07.2026|16.07.2026|          |          |200234558383|ET5837-000|CSJB-75/25-552/U-Q-CN               |       12 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|23.07.2026|23.07.2026|          |          |200234594041|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|23.07.2026|23.07.2026|          |          |200234594042|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
|24.07.2026|24.07.2026|          |          |200234594043|CS5715-000|LHOL-55-460                         |      504 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM MSCP SETC      |          |
|14.07.2026|16.07.2026|          |          |200234554082|ES0839-000|CSJP-55/17-435/U-JZ                 |       55 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|14.07.2026|16.07.2026|08.07.2026|          |200234554282|ET3949-000|CSJP-63/19-462/U-S                  |        1 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|          |
|16.07.2026|16.07.2026|          |          |200234554856|ES7590-000|CSJB-47/14-435/U-Q-CN               |      300 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|16.07.2026|16.07.2026|          |          |200234555077|ES7590-000|CSJB-47/14-435/U-Q-CN               |      360 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|14.07.2026|17.07.2026|          |          |200234554084|ES0839-000|CSJP-55/17-435/U-JZ                 |      108 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |          |
|14.07.2026|18.07.2026|09.07.2026|          |200234554509|ET3949-000|CSJP-63/19-462/U-S                  |      100 |       0 |                                   |        |REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*|PREP      |
|16.07.2026|20.07.2026|          |          |200234554552|ES7592-000|CSJB-47/14-435/U-CN                 |      375 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*|COMP PREP |
|16.07.2026|21.07.2026|          |          |200234554516|ES0839-000|CSJP-55/17-435/U-JZ                 |      240 |       0 |                                   |        |REL  PRT  PRC  BASC BCRQ MACM MSCP SETC |PREP      |
|21.07.2026|23.07.2026|          |          |200234593838|ES0839-000|CSJP-55/17-435/U-JZ                 |       61 |       0 |                                   |        |CRTD PRC  BASC BCRQ MACM SETC           |          |
