order_number,scheduling_pool,bench_work_centres,bench_operations,bench_remaining_minutes,bench_operation_count
200233267595,CSKI_MVKI,CSKI-1,0010,1034,1
200233267597,CSKI_MVKI,CSKI-1,0010,718,1
200233267600,CSKI_MVKI,CSKI-1,0010,1034,1
200233267603,CSKI_MVKI,CSKI-1,0010,718,1
200233271509,CSKI_MVKI,CSKI-1,0010,344,1
200233271510,CSKI_MVKI,CSKI-1,0010,344,1
200233314375,LVPA,LVPA-5,0010,79,1
200233314459,LVPA,LVPA-5,0010,120,1
200233359392,CSKI_MVKI,CSKI-1,0010,1088,1
200233359394,CSKI_MVKI,CSKI-1,0010,588,1
200233376337,CSKI_MVKI,MVKI-1,0010,114,1
200233376344,CSKI_MVKI,MVKI-1,0010,114,1
200233387277,CSKI_MVKI,CSKI-1,0010,488,1
200233387290,CSKI_MVKI,CSKI-1,0010,622,1
200233548301,CSKI_MVKI,CSKI-1,0010,355,1
200233570589,LVPA,LVPA-5,0010,600,1
200233570591,LVPA,LVPA-5,0010,600,1
200233571993,CSKI_MVKI,CSKI-1,0010,198,1
200233600285,CSKI_MVKI,CSKI-1,0010,164,1
200233600292,CSKI_MVKI,CSKI-1,0010,291,1
200233600294,CSKI_MVKI,CSKI-1,0010,109,1
200233600363,CSKI_MVKI,CSKI-1,0010,352,1
200233621851,LVPA,LVPA-2 / LVPA-5,0010 → 0020,28,2
200233622307,CSKI_MVKI,CSKI-1,0010,155,1
200233637765,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637766,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637769,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637770,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637775,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637825,LVPA,LVPA-2,0010 → 0020,53,2
200233637830,LVPA,LVPA-2,0010 → 0020,35,2
200233637831,LVPA,LVPA-2,0010 → 0020,35,2
200233637833,LVPA,LVPA-2,0010 → 0020,35,2
200233637834,LVPA,LVPA-2,0010 → 0020,35,2
200233637837,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637838,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637839,LVPA,LVPA-2 / LVPA-5,0010 → 0020,182,2
200233637923,LVPA,LVPA-2,0010 → 0020,106,2
200233637925,LVPA,LVPA-2,0010 → 0020,106,2
200233637927,LVPA,LVPA-2,0010 → 0020,106,2
200233637928,LVPA,LVPA-2,0010 → 0020,106,2
200233637933,LVPA,LVPA-2,0010 → 0020,106,2
200233637935,LVPA,LVPA-2,0010 → 0020,106,2
200233637958,LVPA,LVPA-2,0010 → 0020,106,2
200233637959,LVPA,LVPA-2,0010 → 0020,106,2
200233637962,LVPA,LVPA-2,0010 → 0020,106,2
200233637963,LVPA,LVPA-2,0010 → 0020,106,2
