order_number,material,material_description,scheduled_start,scheduled_finish,target_quantity,confirmed_quantity,customer,priority,is_released,is_australia,system_status,user_status,picked,ready_for_production,production_state,scheduling_pool,bench_work_centres,bench_operations,bench_remaining_minutes,bench_operation_count
200233267595,D41410-005,CSJA-24C/1XU-1XU-M1,02.09.2026,03.09.2026,300,0,Steinbacher Energie GmbH,5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,1034,1
200233267597,D41410-005,CSJA-24C/1XU-1XU-M1,02.09.2026,03.09.2026,200,0,Steinbacher Energie GmbH,5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,718,1
200233267600,D41410-005,CSJA-24C/1XU-1XU-M1,03.09.2026,07.09.2026,300,0,Steinbacher Energie GmbH,5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,1034,1
200233267603,D41410-005,CSJA-24C/1XU-1XU-M1,02.09.2026,03.09.2026,200,0,Steinbacher Energie GmbH,5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,718,1
200233271509,CJ9877-005,CSJA-24D/1XU-1XU-M,05.08.2026,05.08.2026,90,0,Steinbacher Energie GmbH,5,no,no,CRTD PRC  BASC BCRQ MACM SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,344,1
200233271510,CJ9877-005,CSJA-24D/1XU-1XU-M,03.09.2026,03.09.2026,90,0,Steinbacher Energie GmbH,5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,344,1
200233314375,BM0920-000,BAH-038081523,20.10.2026,20.10.2026,40,0,Dallas Trading Co. (L.L.C.),5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,LVPA,LVPA-5,0010,79,1
200233314459,BM0921-000,BAH-038081524,20.10.2026,20.10.2026,20,0,Dallas Trading Co. (L.L.C.),5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,LVPA,LVPA-5,0010,120,1
200233359392,EN2828-000,CSJA-24C/1XU-1XU-DE02,04.09.2026,08.09.2026,300,0,LEW Verteilnetz GmbH,5,no,no,CRTD MSPT PRC  BASC BCRQ SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,1088,1
200233359394,EN2828-000,CSJA-24C/1XU-1XU-DE02,04.09.2026,07.09.2026,150,0,LEW Verteilnetz GmbH,5,no,no,CRTD MSPT PRC  BASC BCRQ MSCP SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,CSKI-1,0010,588,1
200233376337,CS9849-000,SMOE-64222,18.09.2026,18.09.2026,3,0,SP Power Systems Ltd,5,no,no,CRTD PRC  BASC BCRQ MACM SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,MVKI-1,0010,114,1
200233376344,CS9849-000,SMOE-64222,19.11.2026,19.11.2026,3,0,SP Power Systems Ltd,5,no,no,CRTD PRC  CSER BASC BCRQ MACM SETC,,no,no,AWAITING_PICKING,CSKI_MVKI,MVKI-1,0010,114,1
