bench_id,bench_name,scheduling_pool,sequence,order_number,material,material_description,customer,is_australia,priority,scheduled_start,scheduled_finish,target_finish_day_offset,bench_remaining_minutes,sap_remaining_minutes,adjusted_remaining_minutes,staffing_factor,staffing_override_people,planned_start_minute,planned_finish_minute,planned_start_time,planned_finish_time,planned_finish_day_offset,due_status,due_delta_days,due_message,bench_work_centres,bench_operations,system_status,user_status,override_type,override_note,assignment_source,assignment_source_label,assignment_reason,queue_stability,schedule_confidence,confidence_reason,live_active,live_started_at,live_started_remaining_minutes,live_elapsed_minutes,live_sap_refresh_at
CM01,CSKI/MVKI Bench 1,CSKI_MVKI,1,200233938906,CH8130-000,CSJT-36D/1XU-1XU-GB03,SP Power Systems Ltd,no,5,29.07.2026,29.07.2026,0,247,247,247,1.0000,2,275,522,13:15,Thu 30/07 08:32,1,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*,COMP PREP,MANUAL SPLIT,Part A: qty 95 / 247 min on CM01 ・ SAP snapshot 247 min ・ remaining estimate 247 min,LIVE,Live WIP,This split part is actively being worked on this bench and remains locked as current.,LIVE LOCK,ATTENTION,The predicted finish is later than the SAP scheduled finish day. The split part is still predicted to finish late.,yes,2026-07-29 08:13:07,247,0,2026-07-29 13:04:24
CM01,CSKI/MVKI Bench 1,CSKI_MVKI,2,200233812330,EN6842-000,CSJA-24C/1XU-1XU-DE03,Netze BW GmbH,no,5,30.07.2026,31.07.2026,2,1012,1012,1012,1.0000,2,522,1534,Thu 30/07 08:32,Mon 03/08 12:24,3,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,AUTO LOCK,Preserved from previous schedule to stabilise the near-term queue,STABLE,Stable Queue,LINEUP preserved this order on CM01 because it was the next automatic order in the previous plan.,STABLE NEXT,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM03,CSKI/MVKI Bench 3,CSKI_MVKI,1,200233938906,CH8130-000,CSJT-36D/1XU-1XU-GB03,SP Power Systems Ltd,no,5,29.07.2026,29.07.2026,0,488,244,488,2.0000,1,275,763,13:15,Thu 30/07 13:28,1,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PCNF PRC  BASC BCRQ GMPS MACM*,COMP PREP,MANUAL SPLIT,Part B: qty 94 / 488 min on CM03 ・ SAP snapshot 244 min ・ remaining estimate 488 min,LIVE,Live WIP,This split part is actively being worked on this bench and remains locked as current.,LIVE LOCK,ATTENTION,The predicted finish is later than the SAP scheduled finish day. A manual staffing override materially changes the duration. The split part is still predicted to finish late.,yes,2026-07-29 11:07:28,488,0,2026-07-29 13:04:24
CM03,CSKI/MVKI Bench 3,CSKI_MVKI,2,200234566929,EP7612-000,EPPA-064-60-IE01,ESB,no,5,29.07.2026,29.07.2026,0,136,68,136,2.0000,1,763,899,Thu 30/07 13:28,Thu 30/07 15:44,1,LATE,1,Late by 1 working day,MVKI-1,0005,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,AUTO LOCK,Preserved from previous schedule to stabilise the near-term queue,STABLE,Stable Queue,LINEUP preserved this order on CM03 because it was the next automatic order in the previous plan.,STABLE NEXT,ATTENTION,The predicted finish is later than the SAP scheduled finish day. A manual staffing override materially changes the duration.,,,,,
CM03,CSKI/MVKI Bench 3,CSKI_MVKI,3,200234292937,EP6010-000,SMOE-64732,Cable Services Ltd,no,5,30.07.2026,30.07.2026,1,276,138,276,2.0000,1,899,1175,Thu 30/07 15:44,Fri 31/07 11:40,2,LATE,1,Late by 1 working day,MVKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, CM06, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day. A manual staffing override materially changes the duration.,,,,,
CM03,CSKI/MVKI Bench 3,CSKI_MVKI,4,200233600294,CR0678-000,CSJT-12B/1XU-3XU-GB01,SP Power Systems Ltd,no,5,30.07.2026,31.07.2026,2,218,109,218,2.0000,1,1175,1393,Fri 31/07 11:40,Mon 03/08 09:53,3,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM SETC,COMP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, CM06, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day. A manual staffing override materially changes the duration.,,,,,
CM04,CSKI/MVKI Bench 4,CSKI_MVKI,1,200234266728,172599-000,SMOE-62546,SSE Stock Ltd,no,5,29.07.2026,29.07.2026,0,165,165,165,1.0000,2,275,440,13:15,16:00,0,ON TARGET,0,Finishes on scheduled working day,MVKI-1,0005,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,,SAP snapshot 165 min ・ remaining estimate 165 min,LIVE,Live WIP,"The order is actively being worked on this bench, so LINEUP keeps it as the current order.",LIVE LOCK,HIGH,This is live tracked work and is locked to the current bench.,yes,2026-07-29 12:35:28,165,0,2026-07-29 13:04:24
CM04,CSKI/MVKI Bench 4,CSKI_MVKI,2,200234568168,172599-000,SMOE-62546,SSE Stock Ltd,no,5,29.07.2026,29.07.2026,0,148,148,148,1.0000,2,440,588,16:00,Thu 30/07 09:38,1,LATE,1,Late by 1 working day,MVKI-1,0005,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,AUTO LOCK,Preserved from previous schedule to stabilise the near-term queue,STABLE,Stable Queue,LINEUP preserved this order on CM04 because it was the next automatic order in the previous plan.,STABLE NEXT,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM04,CSKI/MVKI Bench 4,CSKI_MVKI,3,200234461105,EP9731-000,CSJH-36F/1XU-1XU-GB04,SSE Stock Ltd,no,5,29.07.2026,29.07.2026,0,111,111,111,1.0000,2,588,699,Thu 30/07 09:38,Thu 30/07 11:39,1,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,,,OPTIMISED,Optimised,"This bench gives an on-time predicted finish. The next-best bench, CM05, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM04,CSKI/MVKI Bench 4,CSKI_MVKI,4,200234461099,CR2269-000,CSJR-24D/1XU-1XU-NL01,Stedin Netbeheer B.V.,no,5,29.07.2026,30.07.2026,1,582,582,582,1.0000,2,699,1281,Thu 30/07 11:39,Mon 03/08 08:01,3,LATE,2,Late by 2 working days,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, CM05, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
